Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases,No_of_Doses_daily,Total_Vaccine_Doses,Fully_Vaccinated,Total_Vaccinated,Fration_Fully_Vaccinated,Fration_Total_Vaccinated,Days1,,,,,,,,,,,,,,,,
13-Nov,611,,,,254215,,247633,,5316,1266,48400,3830000,2030000,5860000,0.043191489,0.124680851,602,,,,,,,,,,,,,,,,
14-Nov,612,,,,254276,,247645,,5316,1315,48597,3890000,2110000,6000000,0.044893617,0.127659574,603,,,,,,,,,,,,,,,,
15-Nov,613,,,,254297,,247682,,5316,1299,56057,3910000,2180000,6090000,0.046382979,0.129574468,604,,,,,,,,,,,,,,,,
16-Nov,614,,,,254309,,247711,,5319,1279,59034,3910000,2180000,6090000,0.046382979,0.129574468,605,,,,,,,,,,,,,,,,
17-Nov,615,,,,254384,,247791,,5322,1271,60471,3940000,2300000,6240000,0.04893617,0.132765957,606,,,,,,,,,,,,,,,,
18-Nov,616,,,,254453,,247817,,5325,1311,59755,3960000,2350000,6310000,0.05,0.134255319,607,,,,,,,,,,,,,,,,
19-Nov,617,,,,254541,,247874,,5325,1342,60263,3960000,2350000,6310000,0.05,0.134255319,608,,,,,,,,,,,,,,,,
20-Nov,618,,,,254629,,247919,,5325,1385,60771,4090000,2400000,6490000,0.05106383,0.138085106,609,,,,,,,,,,,,,,,,
21-Nov,619,,,,254688,,247954,,5325,1409,65762,4090000,2400000,6490000,0.05106383,0.138085106,610,,,,,,,,,,,,,,,,
22-Nov,620,,,,254710,,247975,,5328,1407,63489,4090000,2400000,6490000,0.05106383,0.138085106,611,,,,,,,,,,,,,,,,
23-Nov,621,,,,254728,,247992,,5328,1408,61860,4090000,2510000,6600000,0.053404255,0.140425532,612,,,,,,,,,,,,,,,,
24-Nov,622,,,,254781,,248018,,5330,1433,64919,4330000,2560000,6890000,0.054468085,0.146595745,613,,,,,,,,,,,,,,,,
25-Nov,623,,,,254816,,248070,,5332,1414,71328,4410000,2600000,7010000,0.055319149,0.149148936,614,,,,,,,,,,,,,,,,
26-Nov,624,,,,254862,,248085,,5333,1444,80791,4480000,2650000,7130000,0.056382979,0.151702128,615,,,,,,,,,,,,,,,,
27-Nov,625,,,,254904,,248116,,5333,1455,,4480000,2650000,7130000,0.056382979,0.151702128,616,,,,,,,,,,,,,,,,
28-Nov,626,,,,254940,,248131,,5333,1476,,4510000,2660000,7170000,0.056595745,0.152553191,617,,,,,,,,,,,,,,,,
29-Nov,627,,,,254951,,248308,,5333,1310,,4580000,2710000,7290000,0.057659574,0.155106383,618,,,,,,,,,,,,,,,,
30-Nov,628,,,,254979,,248318,,5334,1327,,4660000,2760000,7420000,0.058723404,0.15787234,619,,,,,,,,,,,,,,,,
1-Dec,629,,,,255088,,248350,,5335,1403,,4660000,2760000,7420000,0.058723404,0.15787234,620,,,,,,,,,,,,,,,,
2-Dec,630,,,,255164,,248376,,5335,1453,,4820000,2880000,7700000,0.061276596,0.163829787,621,,,,,,,,,,,,,,,,
3-Dec,631,,,,255260,,248376,,5335,1549,,4890000,2930000,7820000,0.062340426,0.166382979,622,,,,,,,,,,,,,,,,
4-Dec,632,,,,255355,,248404,,5335,1616,,4890000,2930000,7820000,0.062340426,0.166382979,623,,,,,,,,,,,,,,,,
5-Dec,633,,,,255408,,248426,,5335,1647,,4940000,2950000,7890000,0.062765957,0.16787234,624,,,,,,,,,,,,,,,,
6-Dec,634,,,,255437,,248444,,5335,1658,,5000000,3000000,8000000,0.063829787,0.170212766,625,,,,,,,,,,,,,,,,
7-Dec,635,,,,255469,,248452,,5337,1680,,5000000,3060000,8060000,0.065106383,0.171489362,626,,,,,,,,,,,,,,,,
8-Dec,636,,,,255544,,248473,,5337,1734,,5080000,3120000,8200000,0.066382979,0.174468085,627,,,,,,,,,,,,,,,,
9-Dec,637,,,,255652,,248480,,5339,1833,,5160000,3180000,8340000,0.067659574,0.177446809,628,,,,,,,,,,,,,,,,
10-Dec,638,,,,255796,,248488,,5342,1966,,5250000,3240000,8490000,0.06893617,0.180638298,629,,,,,,,,,,,,,,,,
11-Dec,639,,,,255932,,248511,,5346,2075,,5250000,3250000,8500000,0.069148936,0.180851064,630,,,,,,,,,,,,,,,,
12-Dec,640,,,,256134,,248515,,5348,2271,,5360000,3260000,8620000,0.069361702,0.183404255,631,,,,,,,,,,,,,,,,
13-Dec,641,,,,256335,,248551,,5349,2435,,5380000,3260000,8640000,0.069361702,0.183829787,632,,,,,,,,,,,,,,,,
14-Dec,642,,,,256484,,248804,,5349,2331,,5380000,3350000,8730000,0.071276596,0.185744681,633,,,,,,,,,,,,,,,,
15-Dec,643,,,,256815,,249009,,5350,2456,,5510000,3480000,8990000,0.074042553,0.191276596,634,,,,,,,,,,,,,,,,
16-Dec,644,,,,257614,,249154,,5350,3110,,5510000,3480000,8990000,0.074042553,0.191276596,635,,,,,,,,,,,,,,,,
17-Dec,645,,,,258557,,249192,,5353,4012,,5740000,3480000,9220000,0.074042553,0.196170213,636,,,,,,,,,,,,,,,,
18-Dec,646,,,,260166,,249222,,5353,5591,,5740000,3480000,9220000,0.074042553,0.196170213,637,,,,,,,,,,,,,,,,
19-Dec,647,,,,262335,,249296,,5353,7686,,5930000,3590000,9520000,0.076382979,0.202553191,638,,,,,,,,,,,,,,,,
20-Dec,648,,,,263707,,249315,,5353,9039,,5930000,3590000,9520000,0.076382979,0.202553191,639,,,,,,,,,,,,,,,,
21-Dec,649,,,,264727,,249474,,5353,9900,,5930258,3590000,9520258,0.076382979,0.202558681,640,,,,,,,,,,,,,,,,
22-Dec,650,,,,267571,,249474,,5354,12743,,5930258,3850000,9780258,0.081914894,0.208090596,641,,,,,,,,,,,,,,,,
23-Dec,651,,,,270899,,249617,,5355,15927,,5930258,3860000,9790258,0.08212766,0.208303362,642,,,,,,,,,,,,,,,,
24-Dec,652,,,,274645,,249964,,5356,19325,,5930258,3860000,9790258,0.08212766,0.208303362,643,,,,,,,,,,,,,,,,
25-Dec,653,,,,277609,,249937,,5357,22315,,5930258,3930000,9860258,0.083617021,0.209792723,644,,,,,,,,,,,,,,,,
26-Dec,654,,,,281358,,249996,,5359,26003,,5930258,3940000,9870258,0.083829787,0.210005489,645,,,,,,,,,,,,,,,,
27-Dec,655,,,,282554,,250326,,5361,26867,,5930258,3960000,9890258,0.084255319,0.210431021,646,,,,,,,,,,,,,,,,
