Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases,No_of_Doses_daily,Total_Vaccine_Doses,Fully_Vaccinated,Total_Vaccinated,Fration_Fully_Vaccinated,Fration_Total_Vaccinated,Days1,,,,,,,,,,,,,,,,
30-Jan,689,,,,321234,,294615,,5578,21041,,6520000,5450000,11970000,0.115957447,0.254680851,680,,,,,,,,,,,,,,,,
31-Jan,690,,,,321335,,294722,,5580,21033,,6570000,5530000,12100000,0.117659574,0.257446809,681,,,,,,,,,,,,,,,,
1-Feb,691,,,,321381,,294859,,5583,20939,,6650000,5640000,12290000,0.12,0.261489362,682,,,,,,,,,,,,,,,,
2-Feb,692,,,,321552,,295433,,5587,20532,,6730000,5760000,12490000,0.122553191,0.265744681,683,,,,,,,,,,,,,,,,
3-Feb,693,,,,321671,,295534,,5593,20544,,6820000,5890000,12710000,0.125319149,0.270425532,684,,,,,,,,,,,,,,,,
4-Feb,694,,,,321764,,295580,,5604,20580,,6930000,6030000,12960000,0.128297872,0.275744681,685,,,,,,,,,,,,,,,,
5-Feb,695,,,,321922,,295697,,5603,20622,,7060000,6160000,13220000,0.13106383,0.281276596,686,,,,,,,,,,,,,,,,
6-Feb,696,,,,322043,,295697,,5607,20739,,7160000,6250000,13410000,0.132978723,0.285319149,687,,,,,,,,,,,,,,,,
7-Feb,697,,,,322096,,296108,,5621,20367,,7240000,6350000,13590000,0.135106383,0.289148936,688,,,,,,,,,,,,,,,,
8-Feb,698,,,,322151,,296237,,5621,20293,,7330000,6440000,13770000,0.137021277,0.292978723,689,,,,,,,,,,,,,,,,
9-Feb,699,,,,322214,,296482,,5621,20111,,7450000,6540000,13990000,0.139148936,0.297659574,690,,,,,,,,,,,,,,,,
10-Feb,700,,,,322274,,300305,,5622,16347,,7600000,6660000,14260000,0.141702128,0.303404255,691,,,,,,,,,,,,,,,,
11-Feb,701,,,,322334,,302647,,5626,14061,,7760000,6770000,14530000,0.144042553,0.309148936,692,,,,,,,,,,,,,,,,
12-Feb,702,,,,322388,,302693,,5626,14069,,7930000,6880000,14810000,0.146382979,0.315106383,693,,,,,,,,,,,,,,,,
13-Feb,703,,,,322436,,302744,,5629,14063,,8050000,6960000,15010000,0.148085106,0.319361702,694,,,,,,,,,,,,,,,,
14-Feb,704,,,,322473,,302829,,5631,14013,,8054405,6960000,15014405,0.148085106,0.319455426,695,,,,,,,,,,,,,,,,
15-Feb,705,,,,322497,,302866,,5632,13999,,8054405,6960000,15014405,0.148085106,0.319455426,696,,,,,,,,,,,,,,,,
16-Feb,706,,,,322517,,303918,,5632,12967,,8054405,7260000,15314405,0.154468085,0.325838404,697,,,,,,,,,,,,,,,,
17-Feb,707,,,,322545,,302937,,5633,13975,,8054405,7310000,15364405,0.155531915,0.326902234,698,,,,,,,,,,,,,,,,
18-Feb,708,,,,322614,,302966,,5633,14015,,8054405,7310000,15364405,0.155531915,0.326902234,699,,,,,,,,,,,,,,,,
19-Feb,709,,,,322640,,303010,,5633,13997,,8054405,7360000,15414405,0.156595745,0.327966064,700,,,,,,,,,,,,,,,,
20-Feb,710,,,,322669,,303079,,5635,13955,,8054405,7370000,15424405,0.156808511,0.32817883,701,,,,,,,,,,,,,,,,
21-Feb,711,,,,322696,,303107,,5635,13954,,8054405,7400000,15454405,0.157446809,0.328817128,702,,,,,,,,,,,,,,,,
22-Feb,712,,,,322702,,303107,,5638,13957,,8054405,7440000,15494405,0.158297872,0.329668191,703,,,,,,,,,,,,,,,,
23-Feb,713,,,,322736,,303144,,5638,13954,,8054405,7440000,15494405,0.158297872,0.329668191,704,,,,,,,,,,,,,,,,
24-Feb,714,,,,322781,,303166,,5638,13977,,8054405,7520000,15574405,0.16,0.331370319,705,,,,,,,,,,,,,,,,
25-Feb,715,,,,322822,,303198,,5638,13986,,8054405,7560000,15614405,0.160851064,0.332221383,706,,,,,,,,,,,,,,,,
26-Feb,716,,,,322869,,303208,,5638,14023,,8054405,7580000,15634405,0.161276596,0.332646915,707,,,,,,,,,,,,,,,,
27-Feb,717,,,,322906,,303248,,5639,14019,,8054405,7600000,15654405,0.161702128,0.333072447,708,,,,,,,,,,,,,,,,
28-Feb,718,,,,322930,,303261,,5639,14030,,8054405,7640000,15694405,0.162553191,0.333923511,709,,,,,,,,,,,,,,,,
1-Mar,719,,,,322946,,303274,,5639,14033,,8054405,7670000,15724405,0.163191489,0.334561809,710,,,,,,,,,,,,,,,,
2-Mar,720,,,,322978,,303296,,5639,14043,,8054405,7700000,15754405,0.163829787,0.335200106,711,,,,,,,,,,,,,,,,
3-Mar,721,,,,323002,,303296,,5640,14066,,8054405,7730000,15784405,0.164468085,0.335838404,712,,,,,,,,,,,,,,,,
4-Mar,722,,,,323025,,303320,,5640,14065,,8054405,7750000,15804405,0.164893617,0.336263936,713,,,,,,,,,,,,,,,,
5-Mar,723,,,,323057,,303324,,5640,14093,,8054405,7760000,15814405,0.165106383,0.336476702,714,,,,,,,,,,,,,,,,
6-Mar,724,,,,323071,,303352,,5640,14079,,8054405,7760000,15814405,0.165106383,0.336476702,715,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
